Timestamp,Response,Intensity,Experiment
1746704690114.3545,1,2,Staircase Procedure,
1746704700128.6704,0,2,Staircase Procedure,
1746704701034.6475,1,3,Staircase Procedure,
1746704707674.6074,1,2,Staircase Procedure,
1746704714392.4683,1,2,Staircase Procedure,
1746704723534.6384,1,2,Staircase Procedure,
1746704730496.5347,1,2,Staircase Procedure,
1746704734606.1062,1,2,Staircase Procedure,
1746704737609.5933,1,2,Staircase Procedure,
1746704741435.4592,1,2,Staircase Procedure,
1746704742692.3435,1,2,Staircase Procedure,
1746704749652.2756,1,2,Staircase Procedure,
1746704755581.1926,1,2,Staircase Procedure,
1746704756768.7437,1,2,Staircase Procedure,
1746704761552.47,1,2,Staircase Procedure,
1746704767596.5713,1,2,Staircase Procedure,
1746704775488.5151,1,2,Staircase Procedure,
1746704784525.646,1,2,Staircase Procedure,
1746704788525.8638,1,2,Staircase Procedure,
1746704798568.6858,1,2,Staircase Procedure,
1746704833772.6914,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746704833810.3354,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746704833847.7146,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746704833889.7727,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746704833929.8079,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746704833973.491,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746704834009.4644,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746704834045.723,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746704834081.649,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746704834124.3628,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746704835748.7964,,2.5,ComputerShoot,
1746704835909.7266,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746704835952.8628,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746704835992.9631,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746704836029.326,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746704836068.2693,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746704836111.6724,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746704836150.8264,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746704836186.9976,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746704836222.5513,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746704836258.3438,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746704837809.5012,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746704837851.617,1,2.5,FootPedalPress,
1746704837851.617,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746704837888.1404,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746704837926.3167,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746704837963.415,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746704838001.9688,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746704838038.997,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746704838076.2212,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746704838113.244,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746704838151.4697,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746704839796.9612,,2.5,ComputerShoot,
1746704839960.5315,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746704839998.437,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746704840034.333,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746704840070.271,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746704840106.142,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746704840142.046,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746704840177.9497,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746704840213.8538,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746704840252.7825,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746704840290.1316,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746704841848.9597,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746704841885.9304,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746704841928.9788,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746704841973.7896,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746704842015.5854,1,2.5,FootPedalPress,
1746704842015.5854,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746704842058.646,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746704842098.0764,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746704842137.497,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746704842175.0713,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746704842218.8147,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746704843110.5857,1,2.5,FootPedalPress,
1746704843600.9966,1,2.5,FootPedalPress,
1746704843866.7134,1,2.5,FootPedalPress,
1746704843910.9224,,2.5,ComputerShoot,
1746704844071.5793,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746704844115.6438,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746704844158.546,1,2.5,FootPedalPress,
1746704844158.546,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746704844200.005,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746704844243.9438,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746704844286.4292,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746704844322.251,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746704844360.2554,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746704844397.091,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746704844435.034,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746704845579.2087,1,2.5,FootPedalPress,
1746704845995.0945,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746704846031.8284,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746704846071.548,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746704846109.2837,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746704846152.499,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746704846195.1975,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746704846239.0771,1,2.5,FootPedalPress,
1746704846239.0771,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746704846275.292,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746704846311.576,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746704846349.147,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746704846438.3115,1,2.5,FootPedalPress,
1746704846600.1106,1,2.5,FootPedalPress,
1746704847544.3843,1,2.5,FootPedalPress,
1746704847717.8289,1,2.5,FootPedalPress,
1746704848023.4263,1,2.5,FootPedalPress,
1746704848065.232,,2.5,ComputerShoot,
1746704848241.094,1,2.5,FootPedalPress,
1746704848242.0508,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746704848284.2656,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746704848320.658,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746704848356.7354,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746704848394.7744,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746704848437.7927,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746704848477.0422,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746704848514.0178,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746704848554.879,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746704848591.2314,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746704849631.6892,1,2.5,FootPedalPress,
1746704849904.1616,1,2.5,FootPedalPress,
1746704850129.2883,1,2.5,FootPedalPress,
1746704850129.2883,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746704850168.1724,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746704850213.2485,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746704850257.768,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746704850300.3606,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746704850336.231,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746704850372.949,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746704850412.7512,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746704850451.736,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746704850495.4795,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746704852128.5994,,2.5,ComputerShoot,
1746704852304.713,1,2.5,FootPedalPress,
1746704852304.713,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746704852345.1743,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746704852380.9548,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746704852418.901,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746704852457.8462,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746704852494.9863,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
1746704852533.8174,NoShot,2.5,OptimalMoment; current_hole_y=450.00; predicted_hole_y=270.00,
1746704852571.0732,NoShot,2.5,OptimalMoment; current_hole_y=440.00; predicted_hole_y=260.00,
1746704852610.0034,NoShot,2.5,OptimalMoment; current_hole_y=430.00; predicted_hole_y=250.00,
1746704852645.817,NoShot,2.5,OptimalMoment; current_hole_y=420.00; predicted_hole_y=240.00,
1746704852809.1387,1,2.5,FootPedalPress,
1746704853059.474,1,2.5,FootPedalPress,
1746704853226.5999,1,2.5,FootPedalPress,
1746704853402.8748,1,2.5,FootPedalPress,
1746704853579.6472,1,2.5,FootPedalPress,
1746704854248.1995,NoShot,2.5,OptimalMoment; current_hole_y=60.00; predicted_hole_y=240.00,
1746704854293.211,NoShot,2.5,OptimalMoment; current_hole_y=70.00; predicted_hole_y=250.00,
1746704854336.2637,NoShot,2.5,OptimalMoment; current_hole_y=80.00; predicted_hole_y=260.00,
1746704854372.8223,NoShot,2.5,OptimalMoment; current_hole_y=90.00; predicted_hole_y=270.00,
1746704854411.3208,NoShot,2.5,OptimalMoment; current_hole_y=100.00; predicted_hole_y=280.00,
1746704854455.0127,NoShot,2.5,OptimalMoment; current_hole_y=110.00; predicted_hole_y=290.00,
1746704854491.1313,NoShot,2.5,OptimalMoment; current_hole_y=120.00; predicted_hole_y=300.00,
1746704854531.1895,NoShot,2.5,OptimalMoment; current_hole_y=130.00; predicted_hole_y=310.00,
1746704854569.3848,NoShot,2.5,OptimalMoment; current_hole_y=140.00; predicted_hole_y=320.00,
1746704854613.5896,NoShot,2.5,OptimalMoment; current_hole_y=150.00; predicted_hole_y=330.00,
1746704855465.3733,,2.5,PlayerShoot; current_hole_y=360.00; predicted_hole_y=540.00; optimal=False,Score=-25.00; 
1746704856210.2903,,2.5,ComputerShoot,
1746704856369.3896,NoShot,2.5,OptimalMoment; current_hole_y=510.00; predicted_hole_y=330.00,
1746704856413.5366,NoShot,2.5,OptimalMoment; current_hole_y=500.00; predicted_hole_y=320.00,
1746704856456.5264,NoShot,2.5,OptimalMoment; current_hole_y=490.00; predicted_hole_y=310.00,
1746704856492.2874,NoShot,2.5,OptimalMoment; current_hole_y=480.00; predicted_hole_y=300.00,
1746704856529.0955,NoShot,2.5,OptimalMoment; current_hole_y=470.00; predicted_hole_y=290.00,
1746704856573.2917,NoShot,2.5,OptimalMoment; current_hole_y=460.00; predicted_hole_y=280.00,
